epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.35903,0.69965,3.31127,1.26674,0.55621,0.42002,0.525,0.41536,0.5784,2.8426,1.18924,0.00032381,0.00032381,0.00032381
2,9.55021,0.65079,2.32559,1.19086,0.31759,0.66484,0.58002,0.46521,0.64615,1.55214,1.23923,0.000652806,0.000652806,0.000652806
3,13.8542,0.62658,2.05557,1.15255,0.59842,0.60158,0.56501,0.42298,0.72415,1.9956,1.34069,0.000977402,0.000977402,0.000977402
4,18.0516,0.60621,1.92876,1.1448,0.4729,0.72087,0.64481,0.54789,0.6181,1.60261,1.22421,0.0009802,0.0009802,0.0009802
5,22.3277,0.60226,1.82592,1.12527,0.46297,0.80378,0.654,0.57358,0.51849,2.29986,1.10375,0.0009736,0.0009736,0.0009736
6,26.5233,0.61457,1.76322,1.11507,0.56684,0.72353,0.71263,0.59753,0.59904,1.83652,1.13454,0.000967,0.000967,0.000967
7,30.7738,0.54597,1.61958,1.0731,0.68129,0.62921,0.69348,0.62048,0.50613,1.63641,1.05568,0.0009604,0.0009604,0.0009604
8,35.0289,0.56809,1.5829,1.0811,0.71171,0.683,0.74436,0.63862,0.54064,1.55536,1.07848,0.0009538,0.0009538,0.0009538
9,39.3331,0.54323,1.41698,1.06774,0.78004,0.7627,0.82337,0.70661,0.61923,1.02743,1.11539,0.0009472,0.0009472,0.0009472
10,43.5636,0.55189,1.43889,1.08511,0.69496,0.80501,0.81249,0.6879,0.54506,1.12046,1.05608,0.0009406,0.0009406,0.0009406
11,47.7993,0.50723,1.35864,1.05412,0.87241,0.51957,0.6848,0.58598,0.5715,1.79783,1.09362,0.000934,0.000934,0.000934
12,51.9709,0.53403,1.38039,1.06498,0.86202,0.77168,0.79649,0.7019,0.52617,0.94837,1.06465,0.0009274,0.0009274,0.0009274
13,56.1831,0.49833,1.34075,1.03286,0.63473,0.94164,0.80183,0.71197,0.52906,0.90549,1.10809,0.0009208,0.0009208,0.0009208
14,60.4682,0.54907,1.24504,1.06422,0.58764,0.8456,0.81335,0.71667,0.5052,0.93388,1.05243,0.0009142,0.0009142,0.0009142
15,64.7221,0.4978,1.1812,1.04972,0.54701,0.8729,0.81275,0.71649,0.48354,1.0065,1.02168,0.0009076,0.0009076,0.0009076
16,68.902,0.51399,1.15959,1.05571,0.79872,0.88663,0.85267,0.76097,0.47244,0.82034,1.01382,0.000901,0.000901,0.000901
17,73.1279,0.4901,1.11714,1.01568,0.76345,0.9391,0.86679,0.8003,0.43954,0.79075,0.99476,0.0008944,0.0008944,0.0008944
18,77.3215,0.48256,1.06358,1.01078,0.68453,0.90805,0.88362,0.81791,0.42225,0.75354,0.99751,0.0008878,0.0008878,0.0008878
19,81.5413,0.46076,1.04994,1.01786,0.54228,0.80389,0.70355,0.64067,0.42609,1.22832,0.99818,0.0008812,0.0008812,0.0008812
20,85.7888,0.48534,1.08398,1.00314,0.72464,0.83891,0.81197,0.73243,0.47189,0.87647,1.02485,0.0008746,0.0008746,0.0008746
21,89.9504,0.4321,1.0382,1.00396,0.75434,0.77738,0.86955,0.79488,0.43936,0.72626,0.98895,0.000868,0.000868,0.000868
22,94.1524,0.48252,0.97261,0.99769,0.71055,0.87353,0.87353,0.79663,0.49104,0.69065,1.06523,0.0008614,0.0008614,0.0008614
23,98.3715,0.4624,0.90487,0.99553,0.76858,0.93975,0.88728,0.81631,0.45911,0.72761,1.03755,0.0008548,0.0008548,0.0008548
