epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.88652,0.7558,3.57776,1.31779,0.28178,0.80226,0.42425,0.36284,0.62778,6.95817,1.17392,0.00032381,0.00032381,0.00032381
2,13.2598,0.64078,1.83384,1.16945,0.54059,0.71697,0.76,0.6171,0.64016,2.58839,1.24587,0.000652806,0.000652806,0.000652806
3,19.595,0.66809,1.5008,1.16393,0.49698,0.54234,0.60583,0.47181,0.74368,1.95184,1.37125,0.000977402,0.000977402,0.000977402
4,25.7526,0.62151,1.44437,1.14653,0.71265,0.58086,0.6895,0.56506,0.60439,1.54707,1.16926,0.0009802,0.0009802,0.0009802
5,31.9405,0.62248,1.26294,1.12974,0.60109,0.54897,0.56106,0.38047,0.83339,1.97647,1.44282,0.0009736,0.0009736,0.0009736
6,38.0897,0.66351,1.21636,1.13728,0.74898,0.72231,0.82224,0.67602,0.67241,1.27728,1.24796,0.000967,0.000967,0.000967
7,44.2419,0.55923,1.06835,1.09594,0.64171,0.843,0.81096,0.68434,0.62392,0.98507,1.13695,0.0009604,0.0009604,0.0009604
8,50.4059,0.57536,1.03311,1.0826,0.74005,0.91071,0.86309,0.72773,0.60965,0.80658,1.17106,0.0009538,0.0009538,0.0009538
9,56.5685,0.57415,0.96887,1.08996,0.59544,0.8602,0.82016,0.71076,0.58701,0.91661,1.1678,0.0009472,0.0009472,0.0009472
10,62.6984,0.61173,0.92986,1.13505,0.61576,0.84665,0.8601,0.73135,0.63624,0.86321,1.19732,0.0009406,0.0009406,0.0009406
11,68.8553,0.54522,0.95996,1.07652,0.74035,0.75425,0.85167,0.73482,0.59563,0.87949,1.11371,0.000934,0.000934,0.000934
12,75.0618,0.53485,0.96825,1.07572,0.56648,0.84404,0.81283,0.65706,0.63386,1.01866,1.12695,0.0009274,0.0009274,0.0009274
13,81.3064,0.51968,0.98603,1.0344,0.84261,0.70443,0.81177,0.71158,0.58385,0.8111,1.11029,0.0009208,0.0009208,0.0009208
14,87.4295,0.55364,0.92454,1.0561,0.81285,0.60589,0.73007,0.61867,0.56522,1.40955,1.06954,0.0009142,0.0009142,0.0009142
15,93.5578,0.51828,0.88366,1.05233,0.58997,0.79276,0.69085,0.5574,0.61358,1.1425,1.07793,0.0009076,0.0009076,0.0009076
16,99.7171,0.53498,0.89825,1.0643,0.66773,0.86211,0.85561,0.73922,0.57783,0.70144,1.08914,0.000901,0.000901,0.000901
17,105.899,0.54163,0.81989,1.03731,0.66189,0.96555,0.85398,0.75789,0.50002,0.62913,1.04217,0.0008944,0.0008944,0.0008944
18,112.096,0.50471,0.76928,1.02154,0.68197,0.853,0.84699,0.76116,0.50112,0.84386,1.06253,0.0008878,0.0008878,0.0008878
19,118.26,0.50081,0.75919,1.0451,0.67143,0.90498,0.80087,0.72534,0.50748,0.73882,1.0302,0.0008812,0.0008812,0.0008812
20,124.413,0.5052,0.82721,1.00021,0.85126,0.9401,0.918,0.84166,0.46131,0.63799,1.00289,0.0008746,0.0008746,0.0008746
21,130.626,0.46293,0.75266,1.01376,0.65691,0.96134,0.86102,0.78752,0.45346,0.64784,0.98754,0.000868,0.000868,0.000868
22,136.848,0.49639,0.74892,1.00374,0.67229,0.83066,0.77286,0.68293,0.52085,0.77437,1.05474,0.0008614,0.0008614,0.0008614
23,143.094,0.47269,0.71265,0.99702,0.57491,0.83893,0.81776,0.72181,0.50314,0.73294,1.00878,0.0008548,0.0008548,0.0008548
24,149.449,0.48984,0.72914,1.02899,0.76176,0.94935,0.88308,0.81304,0.43345,0.58071,0.96789,0.0008482,0.0008482,0.0008482
25,155.216,0.44985,0.72955,0.99362,0.69403,0.92738,0.80831,0.73021,0.43212,0.62647,0.99462,0.0008416,0.0008416,0.0008416
