epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,195.624,0.39009,0.43429,0.94509,0.92713,0.90969,0.98598,0.9265,0.39554,0.40512,0.91993,0.0007294,0.0007294,0.0007294
43,200.363,0.37258,0.41876,0.93395,0.9173,0.88983,0.96709,0.91513,0.37805,0.51723,0.91015,0.0007228,0.0007228,0.0007228
44,205.089,0.38754,0.46207,0.92591,0.83863,0.85666,0.95028,0.89835,0.37215,0.55476,0.90343,0.0007162,0.0007162,0.0007162
45,209.819,0.38326,0.45124,0.93724,0.89846,0.9235,0.97066,0.91651,0.38142,0.42069,0.90918,0.0007096,0.0007096,0.0007096
46,214.557,0.39479,0.44624,0.94199,0.86939,0.95358,0.97715,0.92092,0.40909,0.49302,0.92417,0.000703,0.000703,0.000703
47,219.33,0.38966,0.49614,0.94645,0.8448,0.90803,0.95804,0.90314,0.41727,0.62467,0.93913,0.0006964,0.0006964,0.0006964
48,224.24,0.38849,0.45865,0.94582,0.91214,0.96368,0.97577,0.91681,0.39596,0.40985,0.92168,0.0006898,0.0006898,0.0006898
49,228.959,0.37916,0.47669,0.93139,0.93094,0.97037,0.97556,0.91629,0.39491,0.37446,0.92365,0.0006832,0.0006832,0.0006832
50,233.658,0.38358,0.41398,0.93331,0.86135,0.85722,0.93653,0.87777,0.38909,0.51995,0.92554,0.0006766,0.0006766,0.0006766
51,238.381,0.35902,0.37683,0.91716,0.90486,0.92051,0.96231,0.89056,0.40157,0.52059,0.93734,0.00067,0.00067,0.00067
52,243.096,0.35174,0.37494,0.91804,0.94319,0.95717,0.99093,0.93478,0.39404,0.34673,0.90955,0.0006634,0.0006634,0.0006634
53,247.848,0.36714,0.36739,0.92159,0.91783,0.95217,0.97508,0.92854,0.37799,0.44018,0.90673,0.0006568,0.0006568,0.0006568
