epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.21948,0.77689,5.09748,1.32623,0.45068,0.82068,0.61826,0.53925,0.55484,12.3378,1.12231,0.00032381,0.00032381,0.00032381
2,13.54,0.63152,1.75627,1.16863,0.4708,0.78976,0.61944,0.53022,0.69757,2.2468,1.31378,0.000652806,0.000652806,0.000652806
3,19.8318,0.65416,1.38241,1.16242,0.75666,0.56712,0.78604,0.63292,0.69932,1.97307,1.31,0.000977402,0.000977402,0.000977402
4,26.01,0.59399,1.35795,1.1189,0.3124,0.63763,0.54285,0.4106,0.65335,3.6207,1.28557,0.0009802,0.0009802,0.0009802
5,32.2736,0.58194,1.17045,1.09498,0.67071,0.6627,0.71971,0.5612,0.7686,1.55269,1.25297,0.0009736,0.0009736,0.0009736
6,38.538,0.67336,1.13902,1.1442,0.41969,0.83106,0.68384,0.5533,0.7061,1.58496,1.21362,0.000967,0.000967,0.000967
7,44.7794,0.56242,1.00817,1.07757,0.7675,0.70166,0.80112,0.69362,0.55069,2.31675,1.14592,0.0009604,0.0009604,0.0009604
8,51.0309,0.58225,0.99835,1.09272,0.50793,0.79939,0.62849,0.5626,0.62751,8.93773,1.15373,0.0009538,0.0009538,0.0009538
9,57.1657,0.53011,0.94667,1.05624,0.91099,0.48481,0.77043,0.68615,0.50661,1.21739,1.06133,0.0009472,0.0009472,0.0009472
10,63.3484,0.58958,0.9701,1.11906,0.64642,0.86242,0.80531,0.70742,0.54714,0.90073,1.08033,0.0009406,0.0009406,0.0009406
11,69.5527,0.56385,0.90302,1.08213,0.6895,0.7246,0.77483,0.67525,0.56233,1.16911,1.08768,0.000934,0.000934,0.000934
12,75.6691,0.5374,0.91093,1.05941,0.66078,0.93072,0.82179,0.70457,0.55166,0.76945,1.12672,0.0009274,0.0009274,0.0009274
13,81.9373,0.52537,0.89376,1.04943,0.60751,0.94304,0.86085,0.75225,0.54832,0.75819,1.11248,0.0009208,0.0009208,0.0009208
14,88.1305,0.53557,0.86762,1.05917,0.60137,0.90398,0.85283,0.75833,0.50657,0.82291,1.03459,0.0009142,0.0009142,0.0009142
15,94.3394,0.49573,0.82373,1.04644,0.60063,0.82994,0.82334,0.72982,0.52027,1.01002,1.07214,0.0009076,0.0009076,0.0009076
16,100.507,0.51404,0.82643,1.05546,0.77185,0.66426,0.81108,0.68597,0.56712,0.94921,1.05777,0.000901,0.000901,0.000901
17,106.636,0.51009,0.79814,1.02063,0.69735,0.85501,0.81591,0.71763,0.50704,0.75886,1.03518,0.0008944,0.0008944,0.0008944
18,112.822,0.48894,0.74774,1.01452,0.67166,0.88718,0.85868,0.77245,0.46385,0.67046,1.02309,0.0008878,0.0008878,0.0008878
19,119.066,0.48545,0.74049,1.03264,0.65833,0.85087,0.82997,0.73742,0.50131,0.75379,1.06688,0.0008812,0.0008812,0.0008812
20,125.247,0.50155,0.77561,1.00118,0.66829,0.97043,0.8263,0.73227,0.49237,0.69137,1.02498,0.0008746,0.0008746,0.0008746
21,131.452,0.47264,0.71359,1.0219,0.63422,0.94667,0.83845,0.77018,0.45087,0.68806,0.99517,0.000868,0.000868,0.000868
22,137.591,0.48333,0.73287,1.00059,0.74752,0.92838,0.87908,0.80863,0.45294,0.73219,0.99989,0.0008614,0.0008614,0.0008614
23,143.769,0.46141,0.71319,1.00026,0.69075,0.89973,0.85854,0.78447,0.47812,0.72926,1.01315,0.0008548,0.0008548,0.0008548
24,150.046,0.47724,0.71744,1.02666,0.71132,0.90491,0.85783,0.77558,0.49055,0.7259,1.01755,0.0008482,0.0008482,0.0008482
25,156.199,0.45225,0.74022,1.00465,0.68308,0.95316,0.83291,0.76998,0.4501,0.6499,0.98671,0.0008416,0.0008416,0.0008416
26,162.392,0.4374,0.74334,1.00309,0.70176,0.86878,0.89356,0.81334,0.43097,0.62304,0.97165,0.000835,0.000835,0.000835
27,168.591,0.42877,0.70429,0.98803,0.71145,0.89119,0.82107,0.75604,0.42356,0.75585,0.97615,0.0008284,0.0008284,0.0008284
28,174.702,0.42635,0.69592,0.99804,0.7641,0.92168,0.91508,0.85176,0.43424,0.58615,0.97875,0.0008218,0.0008218,0.0008218
29,180.915,0.43899,0.67913,1.00093,0.78108,0.94989,0.87802,0.80882,0.43653,0.5463,0.99157,0.0008152,0.0008152,0.0008152
30,187.084,0.45045,0.69772,0.99161,0.63271,0.89367,0.87571,0.81417,0.44817,0.70559,0.98815,0.0008086,0.0008086,0.0008086
31,193.433,0.41773,0.63072,0.97422,0.67648,0.97353,0.87522,0.80437,0.44382,0.60491,0.9878,0.000802,0.000802,0.000802
32,199.595,0.42916,0.65542,0.99049,0.64585,0.92656,0.85511,0.80039,0.44016,0.72166,0.9953,0.0007954,0.0007954,0.0007954
33,205.713,0.4265,0.66198,0.97177,0.77676,0.93066,0.89604,0.84279,0.40988,0.56113,0.94787,0.0007888,0.0007888,0.0007888
34,211.999,0.43597,0.68576,0.98144,0.72777,0.90686,0.86801,0.80797,0.44781,0.54252,0.99844,0.0007822,0.0007822,0.0007822
35,218.128,0.43405,0.66647,0.98304,0.77313,0.92353,0.87742,0.8204,0.4057,0.5017,0.97673,0.0007756,0.0007756,0.0007756
36,224.286,0.37287,0.63874,0.95867,0.6615,0.86057,0.80511,0.73959,0.39769,0.73043,0.97523,0.000769,0.000769,0.000769
37,230.42,0.44122,0.61124,0.98884,0.75153,0.94806,0.89451,0.83814,0.3671,0.53728,0.93262,0.0007624,0.0007624,0.0007624
38,236.574,0.41357,0.59234,0.98744,0.8052,0.96334,0.89404,0.83495,0.3963,0.46289,0.94098,0.0007558,0.0007558,0.0007558
39,242.713,0.40507,0.57027,0.98474,0.77935,0.99809,0.86099,0.77052,0.45785,0.50411,1.03803,0.0007492,0.0007492,0.0007492
40,248.882,0.40799,0.60227,0.98891,0.71915,0.99239,0.90343,0.81441,0.48476,0.54875,1.03129,0.0007426,0.0007426,0.0007426
41,255.022,0.42381,0.5738,0.96968,0.75821,0.94404,0.89336,0.82473,0.42536,0.53783,0.9919,0.000736,0.000736,0.000736
42,261.17,0.41562,0.57276,0.98598,0.83717,0.95579,0.92873,0.86725,0.42826,0.45965,0.97803,0.0007294,0.0007294,0.0007294
43,267.359,0.38323,0.5538,0.96937,0.72476,0.92487,0.86337,0.79534,0.39488,0.52925,0.97385,0.0007228,0.0007228,0.0007228
44,273.607,0.41807,0.572,0.96727,0.72036,0.8902,0.87567,0.81585,0.37878,0.55696,0.94289,0.0007162,0.0007162,0.0007162
45,279.773,0.40066,0.59626,0.96027,0.79988,0.9635,0.93026,0.86556,0.39975,0.50392,0.95141,0.0007096,0.0007096,0.0007096
46,285.903,0.3981,0.60931,0.97111,0.68312,0.89144,0.89225,0.82648,0.39109,0.63269,0.94697,0.000703,0.000703,0.000703
47,292.053,0.40322,0.57404,0.98363,0.72008,0.98708,0.94127,0.86904,0.39923,0.48854,0.96727,0.0006964,0.0006964,0.0006964
48,298.249,0.40239,0.51582,0.98222,0.88986,0.87911,0.95492,0.88736,0.39899,0.45927,0.94254,0.0006898,0.0006898,0.0006898
49,304.436,0.40016,0.57391,0.97143,0.83198,0.95187,0.93468,0.87566,0.38139,0.44868,0.92958,0.0006832,0.0006832,0.0006832
50,310.607,0.38196,0.50111,0.96805,0.89116,0.81715,0.8994,0.83586,0.39829,0.48285,0.94708,0.0006766,0.0006766,0.0006766
51,316.811,0.38687,0.54588,0.95732,0.81823,0.82408,0.86838,0.80191,0.43458,0.58779,0.98089,0.00067,0.00067,0.00067
52,322.955,0.36668,0.51713,0.96419,0.78798,0.91456,0.94126,0.86627,0.4315,0.51138,0.98532,0.0006634,0.0006634,0.0006634
53,329.129,0.38077,0.51829,0.96464,0.90632,0.87319,0.97236,0.91283,0.41095,0.48479,0.96775,0.0006568,0.0006568,0.0006568
54,335.425,0.37304,0.50452,0.95856,0.86066,0.79089,0.91828,0.84856,0.39212,0.56378,0.95791,0.0006502,0.0006502,0.0006502
55,341.585,0.38621,0.51759,0.95323,0.82745,0.90353,0.93874,0.88153,0.40801,0.47184,1.00341,0.0006436,0.0006436,0.0006436
56,347.759,0.3626,0.48893,0.95432,0.77316,0.93624,0.91507,0.85782,0.38646,0.55735,0.96293,0.000637,0.000637,0.000637
57,353.909,0.35323,0.51403,0.94859,0.90563,0.95507,0.9835,0.91767,0.40621,0.38883,0.97303,0.0006304,0.0006304,0.0006304
58,360.12,0.39171,0.49379,0.94055,0.76635,0.90236,0.92679,0.87246,0.40838,0.47928,0.95611,0.0006238,0.0006238,0.0006238
59,366.261,0.38269,0.50321,0.96472,0.87652,0.90053,0.92768,0.8701,0.39063,0.48114,0.93107,0.0006172,0.0006172,0.0006172
60,372.39,0.38603,0.50268,0.97912,0.92991,0.96164,0.97859,0.91511,0.40214,0.417,0.93226,0.0006106,0.0006106,0.0006106
61,378.356,0.38981,0.52515,0.95324,0.87659,0.97353,0.98488,0.92672,0.3915,0.4236,0.95228,0.000604,0.000604,0.000604
62,384.169,0.35868,0.44521,0.9535,0.82105,0.93193,0.92639,0.87527,0.37232,0.48021,0.9288,0.0005974,0.0005974,0.0005974
63,389.922,0.36027,0.44315,0.94245,0.91965,0.95686,0.97872,0.92494,0.36106,0.40051,0.92482,0.0005908,0.0005908,0.0005908
64,395.691,0.38711,0.49489,0.96501,0.75301,0.97353,0.92754,0.87285,0.39029,0.51681,0.94352,0.0005842,0.0005842,0.0005842
