epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.1545,0.83139,3.79028,1.29366,0.48372,0.73038,0.60105,0.54841,0.45626,5.18666,0.98597,0.00017,0.00017,0.00017
2,10.1052,0.5536,1.79098,1.08261,0.45015,0.85666,0.60576,0.51237,0.57306,3.13981,1.06756,0.00034769,0.00034769,0.00034769
3,14.8895,0.59352,1.54747,1.03478,0.43287,0.85132,0.73302,0.62805,0.55078,3.13669,1.07402,0.000523004,0.000523004,0.000523004
4,19.6724,0.5133,1.19511,1.00474,0.47303,0.80103,0.83439,0.72255,0.58395,1.66301,1.12199,0.000695942,0.000695942,0.000695942
5,24.4472,0.5393,1.19969,1.01632,0.61332,0.66304,0.72921,0.57221,0.67429,3.68242,1.21795,0.000866504,0.000866504,0.000866504
6,29.1954,0.6,1.11258,1.04748,0.39639,0.83847,0.53256,0.39907,0.8657,5.98851,1.2514,0.000967,0.000967,0.000967
7,33.9261,0.55545,0.97532,1.03294,0.41489,0.80177,0.67476,0.53185,0.73947,2.44872,1.29454,0.0009604,0.0009604,0.0009604
8,38.6965,0.56926,0.94362,1.04444,0.54302,0.65322,0.65155,0.52304,0.7317,2.02918,1.20162,0.0009538,0.0009538,0.0009538
9,43.4584,0.52408,0.88375,1.01425,0.735,0.54279,0.7367,0.48803,0.81692,1.48816,1.26305,0.0009472,0.0009472,0.0009472
10,48.2482,0.55079,0.94049,1.03163,0.58171,0.75694,0.82903,0.62522,0.80474,1.81882,1.40689,0.0009406,0.0009406,0.0009406
11,52.8167,0.52451,0.86139,1.00137,0.61857,0.5718,0.7556,0.64174,0.57842,1.35641,1.07744,0.000934,0.000934,0.000934
12,57.3332,0.56194,0.88533,1.02244,0.64051,0.62323,0.68051,0.59281,0.57605,1.60292,1.09262,0.0009274,0.0009274,0.0009274
13,61.7943,0.50692,0.84573,0.98682,0.75225,0.87337,0.92771,0.82538,0.54465,0.88693,1.03469,0.0009208,0.0009208,0.0009208
14,66.2885,0.49588,0.7116,0.99169,0.8158,0.85475,0.9415,0.86357,0.49834,0.72908,1.01383,0.0009142,0.0009142,0.0009142
15,70.7612,0.53615,0.7386,1.00084,0.73058,0.91612,0.88995,0.75355,0.63367,0.80361,1.07484,0.0009076,0.0009076,0.0009076
16,75.2519,0.47978,0.7157,0.98531,0.7835,0.85886,0.91016,0.79019,0.62029,0.7512,1.06841,0.000901,0.000901,0.000901
17,79.7093,0.50533,0.68427,0.98379,0.70518,0.90432,0.91813,0.81781,0.53389,0.76109,1.0348,0.0008944,0.0008944,0.0008944
18,84.2102,0.49905,0.69883,0.96766,0.85464,0.912,0.9695,0.89342,0.44833,0.62663,0.97756,0.0008878,0.0008878,0.0008878
19,88.691,0.4492,0.62053,0.96971,0.91407,0.80805,0.9086,0.83072,0.45627,0.6182,0.97812,0.0008812,0.0008812,0.0008812
20,93.1359,0.47745,0.67373,0.95977,0.81237,0.77811,0.88884,0.7853,0.52037,0.93883,0.98837,0.0008746,0.0008746,0.0008746
