epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.3633,0.69115,3.33157,1.25955,0.00567,1,0.4238,0.34284,0.56649,2.91338,1.21465,0.00032381,0.00032381,0.00032381
2,10.1356,0.66002,2.3953,1.19548,0.45835,0.83651,0.6039,0.50289,0.64623,1.75739,1.28803,0.000652806,0.000652806,0.000652806
3,14.5197,0.64898,2.05593,1.16774,0.53377,0.76052,0.6735,0.5456,0.61144,2.32677,1.21652,0.000977402,0.000977402,0.000977402
4,18.8016,0.59125,1.95197,1.12831,0.52459,0.80146,0.70111,0.57948,0.60852,1.81095,1.1408,0.0009802,0.0009802,0.0009802
5,23.1032,0.57608,1.78808,1.09901,0.62276,0.71204,0.74341,0.62485,0.6201,1.5362,1.19718,0.0009736,0.0009736,0.0009736
6,27.3598,0.63692,1.70881,1.11953,0.49688,0.76546,0.71271,0.559,0.73689,1.62429,1.25444,0.000967,0.000967,0.000967
7,31.6745,0.54373,1.59378,1.07201,0.47766,0.87826,0.74404,0.66759,0.5163,1.47319,1.06394,0.0009604,0.0009604,0.0009604
8,35.9849,0.56625,1.56222,1.0873,0.83547,0.73365,0.82616,0.73142,0.51355,1.10397,1.06183,0.0009538,0.0009538,0.0009538
9,40.2313,0.53613,1.37845,1.06552,0.58921,0.86031,0.85094,0.75092,0.56714,1.18491,1.13245,0.0009472,0.0009472,0.0009472
10,44.553,0.56879,1.47153,1.09766,0.81788,0.7754,0.83512,0.71007,0.5396,1.01721,1.06599,0.0009406,0.0009406,0.0009406
11,48.7395,0.50261,1.32718,1.04741,0.57691,0.96667,0.88543,0.79407,0.50898,0.98108,1.06792,0.000934,0.000934,0.000934
12,53.043,0.52642,1.29569,1.06283,0.69804,0.88211,0.8675,0.77466,0.5651,1.03152,1.12035,0.0009274,0.0009274,0.0009274
13,57.3765,0.52635,1.36461,1.04427,0.65497,0.84139,0.8678,0.78056,0.51778,1.07561,1.08719,0.0009208,0.0009208,0.0009208
14,61.6096,0.53578,1.26436,1.05184,0.78251,0.64444,0.70017,0.62464,0.48235,1.30146,1.05905,0.0009142,0.0009142,0.0009142
15,65.8818,0.50138,1.23361,1.05219,0.57726,0.89232,0.80273,0.71012,0.511,1.09847,1.06342,0.0009076,0.0009076,0.0009076
16,70.1196,0.50028,1.18676,1.0589,0.71027,0.90686,0.88585,0.78742,0.52285,0.87669,1.06818,0.000901,0.000901,0.000901
17,74.4404,0.49265,1.10823,1.01123,0.7302,0.9402,0.90472,0.7957,0.5099,0.78937,1.08022,0.0008944,0.0008944,0.0008944
18,78.7524,0.48618,1.03597,1.01457,0.64122,0.92772,0.85758,0.74682,0.52271,0.82526,1.06511,0.0008878,0.0008878,0.0008878
19,83.0192,0.46464,1.02144,1.00115,0.83975,0.77401,0.81006,0.73086,0.48691,0.83176,1.03367,0.0008812,0.0008812,0.0008812
20,87.3474,0.4951,1.07047,0.99112,0.72445,0.91053,0.89777,0.79416,0.49043,0.90934,1.02015,0.0008746,0.0008746,0.0008746
21,91.6485,0.43806,1.00046,1.00259,0.66392,0.91685,0.88566,0.80026,0.46512,0.78012,0.99038,0.000868,0.000868,0.000868
22,95.9745,0.4787,0.97354,1.00214,0.63493,0.88831,0.77496,0.696,0.45511,0.87145,1.01439,0.0008614,0.0008614,0.0008614
23,100.264,0.44834,0.92521,0.98891,0.71678,0.87168,0.84178,0.77221,0.45629,0.81325,0.98656,0.0008548,0.0008548,0.0008548
24,104.549,0.48469,0.97543,1.02119,0.8004,0.94887,0.88918,0.82437,0.4487,0.6213,0.97626,0.0008482,0.0008482,0.0008482
25,108.792,0.45203,0.95475,1.00054,0.74991,0.93814,0.87691,0.79198,0.48392,0.72526,1.07251,0.0008416,0.0008416,0.0008416
26,113.089,0.42872,0.92041,0.99178,0.70928,0.88004,0.84485,0.77186,0.44554,0.69537,1.00117,0.000835,0.000835,0.000835
27,117.301,0.41915,0.894,0.98533,0.68865,0.8835,0.82431,0.75483,0.42713,0.77848,0.96648,0.0008284,0.0008284,0.0008284
