epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.06396,0.68331,3.26508,1.17715,0.00912,1,0.49708,0.39939,0.46167,3.28208,1.00479,0.00017,0.00017,0.00017
2,7.14433,0.57036,2.33264,1.09392,0.01144,1,0.60449,0.53117,0.50402,2.61606,1.04014,0.00034769,0.00034769,0.00034769
3,10.449,0.62006,1.87019,1.06429,0.54383,0.62782,0.65305,0.55012,0.59428,1.5947,1.08173,0.000523004,0.000523004,0.000523004
4,13.598,0.53288,1.59589,1.02337,0.58211,0.63211,0.72962,0.60869,0.55612,1.41227,1.05353,0.000695942,0.000695942,0.000695942
5,16.709,0.5258,1.55025,1.01283,0.53354,0.82707,0.71456,0.60251,0.58203,1.43733,1.06562,0.000866504,0.000866504,0.000866504
6,19.8917,0.57355,1.47782,1.02923,0.63094,0.71993,0.76737,0.63678,0.61746,1.63924,1.08884,0.000967,0.000967,0.000967
7,23.0632,0.54208,1.38175,1.02563,0.42903,0.88081,0.65824,0.5483,0.61363,1.51653,1.12578,0.0009604,0.0009604,0.0009604
8,26.312,0.536,1.34967,1.03102,0.82131,0.51031,0.67947,0.55139,0.61963,1.53881,1.13706,0.0009538,0.0009538,0.0009538
9,29.4596,0.50681,1.24715,1.00379,0.56747,0.85686,0.81946,0.69988,0.57011,1.17097,1.05879,0.0009472,0.0009472,0.0009472
10,32.7028,0.54528,1.28637,1.03159,0.75785,0.7273,0.8275,0.69532,0.58711,1.30748,1.06963,0.0009406,0.0009406,0.0009406
11,35.7755,0.50152,1.19673,0.99112,0.37787,0.76035,0.75918,0.66173,0.5515,1.27549,1.02636,0.000934,0.000934,0.000934
12,38.9927,0.53949,1.17285,0.9959,0.89222,0.60576,0.83369,0.7531,0.51182,1.12058,1.02334,0.0009274,0.0009274,0.0009274
