epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.83952,0.83059,3.68337,1.30957,0.44312,0.75288,0.58398,0.48583,0.53156,5.53354,1.02926,0.00017,0.00017,0.00017
2,9.36268,0.56203,1.67132,1.07671,0.60993,0.83542,0.67677,0.58713,0.56094,6.24667,1.05853,0.00034769,0.00034769,0.00034769
3,13.8993,0.58311,1.41333,1.04638,0.5398,0.80827,0.76252,0.62426,0.68147,2.10643,1.10284,0.000523004,0.000523004,0.000523004
4,18.4026,0.53811,1.151,1.02353,0.72984,0.64446,0.75746,0.65161,0.58502,1.81737,1.11837,0.000695942,0.000695942,0.000695942
5,22.8648,0.53468,1.05768,1.01187,0.64093,0.80772,0.79787,0.70453,0.62773,2.05533,1.20446,0.000866504,0.000866504,0.000866504
6,27.3646,0.59892,1.06352,1.02724,0.51874,0.82443,0.77513,0.61288,0.76418,2.35496,1.38418,0.000967,0.000967,0.000967
7,31.767,0.54337,0.91448,1.02158,0.68094,0.82058,0.86816,0.72134,0.65525,1.76208,1.20208,0.0009604,0.0009604,0.0009604
8,36.2221,0.52243,0.91946,1.01909,0.51531,0.50028,0.48355,0.36804,0.79979,4.54819,1.27746,0.0009538,0.0009538,0.0009538
9,40.5951,0.50212,0.82493,0.99576,0.73974,0.66473,0.78136,0.58193,0.86817,1.57429,1.26745,0.0009472,0.0009472,0.0009472
10,45.0072,0.55039,0.94026,1.02411,0.75239,0.42652,0.51452,0.39336,0.70966,2.19304,1.16518,0.0009406,0.0009406,0.0009406
11,49.3888,0.5319,0.91811,1.00333,0.69576,0.7315,0.73928,0.64668,0.57155,1.38386,1.07107,0.000934,0.000934,0.000934
12,53.795,0.5688,0.83492,1.011,0.66916,0.83707,0.85456,0.69333,0.68505,1.15731,1.18182,0.0009274,0.0009274,0.0009274
13,58.1995,0.5202,0.79431,0.98846,0.72056,0.70354,0.7355,0.55912,0.63685,1.49518,1.14038,0.0009208,0.0009208,0.0009208
14,62.7148,0.51382,0.7198,1.00353,0.88421,0.85007,0.92821,0.83103,0.49092,0.78731,1.00901,0.0009142,0.0009142,0.0009142
15,67.1806,0.55818,0.73828,1.00411,0.85135,0.95584,0.98059,0.89974,0.46903,0.61362,0.97861,0.0009076,0.0009076,0.0009076
16,71.6375,0.478,0.7308,0.98229,0.7244,0.67628,0.69807,0.61186,0.5306,3.11302,1.015,0.000901,0.000901,0.000901
17,76.0442,0.49124,0.69025,0.97236,0.72469,0.87884,0.94166,0.8298,0.54215,0.72972,1.00674,0.0008944,0.0008944,0.0008944
18,80.4495,0.49189,0.65599,0.96754,0.82901,0.80892,0.93662,0.82393,0.52869,0.74167,1.03016,0.0008878,0.0008878,0.0008878
19,84.8601,0.46128,0.62672,0.97166,0.808,0.84056,0.90074,0.77826,0.51869,0.83194,1.00857,0.0008812,0.0008812,0.0008812
20,89.2597,0.48494,0.7157,0.96507,0.8372,0.78139,0.86458,0.76568,0.56021,0.75474,1.02156,0.0008746,0.0008746,0.0008746
21,93.6548,0.48409,0.67514,0.98919,0.77156,0.76513,0.86744,0.76549,0.54557,0.90329,1.0375,0.000868,0.000868,0.000868
22,98.0838,0.46929,0.64762,0.96268,0.77649,0.86848,0.87789,0.80316,0.4588,0.72,0.98161,0.0008614,0.0008614,0.0008614
23,102.493,0.44412,0.56485,0.9624,0.84397,0.89572,0.94165,0.85918,0.45685,0.61151,0.9657,0.0008548,0.0008548,0.0008548
24,106.919,0.44049,0.60444,0.96583,0.82455,0.80537,0.88721,0.80061,0.44728,0.82357,0.95921,0.0008482,0.0008482,0.0008482
25,111.317,0.48548,0.64379,0.97459,0.75845,0.78546,0.87659,0.79177,0.447,0.95443,0.94706,0.0008416,0.0008416,0.0008416
26,115.729,0.4664,0.62131,0.96082,0.83851,0.88642,0.95782,0.8871,0.45127,0.6278,0.95685,0.000835,0.000835,0.000835
27,120.12,0.47637,0.63061,0.96633,0.76123,0.82343,0.89199,0.82691,0.46913,0.82849,1.00396,0.0008284,0.0008284,0.0008284
28,124.529,0.4334,0.5657,0.95723,0.90802,0.8901,0.9434,0.88343,0.45564,0.66618,0.9633,0.0008218,0.0008218,0.0008218
29,128.918,0.41666,0.65129,0.95989,0.90255,0.89382,0.93274,0.84832,0.44834,0.49245,0.95612,0.0008152,0.0008152,0.0008152
30,133.34,0.4444,0.60415,0.95205,0.75613,0.82796,0.86399,0.79063,0.44028,0.68178,0.96364,0.0008086,0.0008086,0.0008086
